Launch Point, Capturing point, Data Path Delay, Number of cominational cells in data path
instr_sub_reg/clk,alu_out_q_reg[30]/d,852,35
instr_sub_reg/clk,alu_out_q_reg[29]/d,852,35
instr_sub_reg/clk,alu_out_q_reg[31]/d,848,34
instr_sub_reg/clk,alu_out_q_reg[23]/d,848,34
reg_op1_reg[0]/clk,decoder_trigger_reg/d,837,34
latched_branch_reg/clk,reg_next_pc_reg[31]/d,837,33
latched_branch_reg/clk,reg_next_pc_reg[27]/d,833,33
instr_sub_reg/clk,alu_out_q_reg[28]/d,833,33
reg_op1_reg[0]/clk,reg_op1_reg[31]/d,833,33
instr_sub_reg/clk,alu_out_q_reg[27]/d,828,33
instr_sub_reg/clk,alu_out_q_reg[26]/d,823,33
instr_sub_reg/clk,alu_out_q_reg[25]/d,821,33
instr_sub_reg/clk,alu_out_q_reg[22]/d,817,33
instr_sub_reg/clk,alu_out_q_reg[21]/d,813,33
instr_sub_reg/clk,alu_out_q_reg[19]/d,813,33
decoded_imm_reg[1]/clk,reg_out_reg[31]/d,777,33
reg_op1_reg[0]/clk,mem_do_rinst_reg/srl,809,33
reg_op1_reg[0]/clk,mem_do_rinst_reg/srd,803,33
latched_branch_reg/clk,reg_next_pc_reg[30]/d,803,32
latched_branch_reg/clk,reg_next_pc_reg[26]/d,803,32
latched_branch_reg/clk,reg_next_pc_reg[29]/d,801,32
latched_branch_reg/clk,reg_next_pc_reg[28]/d,798,32
latched_branch_reg/clk,reg_next_pc_reg[25]/d,797,32
latched_branch_reg/clk,reg_next_pc_reg[23]/d,794,32
latched_branch_reg/clk,reg_next_pc_reg[19]/d,786,32
reg_op1_reg[0]/clk,latched_branch_reg/d,743,32
latched_branch_reg/clk,reg_next_pc_reg[22]/d,774,31
latched_branch_reg/clk,reg_next_pc_reg[21]/d,768,31
reg_op1_reg[0]/clk,reg_op1_reg[23]/d,735,31
instr_sub_reg/clk,alu_out_q_reg[24]/d,768,31
instr_sub_reg/clk,alu_out_q_reg[20]/d,762,31
instr_sub_reg/clk,alu_out_q_reg[18]/d,759,31
instr_sub_reg/clk,alu_out_q_reg[17]/d,757,31
decoded_imm_reg[1]/clk,reg_out_reg[27]/d,756,31
decoded_imm_reg[1]/clk,reg_out_reg[23]/d,719,31
decoded_imm_reg[1]/clk,reg_out_reg[30]/d,719,31
reg_op1_reg[0]/clk,latched_store_reg/d,715,31
reg_op1_reg[0]/clk,alu_out_q_reg[0]/d,715,31
latched_branch_reg/clk,reg_next_pc_reg[24]/d,698,30
latched_branch_reg/clk,reg_next_pc_reg[18]/d,698,30
reg_op1_reg[0]/clk,reg_op1_reg[27]/d,695,30
reg_op1_reg[0]/clk,reg_op1_reg[30]/d,708,30
decoded_imm_reg[1]/clk,reg_out_reg[26]/d,706,30
decoded_imm_reg[1]/clk,reg_out_reg[28]/d,704,30
decoded_imm_reg[1]/clk,reg_out_reg[25]/d,736,30
decoded_imm_reg[1]/clk,reg_out_reg[29]/d,736,30
latched_branch_reg/clk,reg_next_pc_reg[20]/d,703,29
latched_branch_reg/clk,reg_next_pc_reg[17]/d,733,29
reg_op1_reg[0]/clk,reg_op1_reg[26]/d,732,29
reg_op1_reg[0]/clk,reg_op1_reg[28]/d,696,29
reg_op1_reg[0]/clk,reg_op1_reg[25]/d,729,29
reg_op1_reg[0]/clk,reg_op1_reg[22]/d,678,29
reg_op1_reg[0]/clk,reg_op1_reg[21]/d,727,29
reg_op1_reg[0]/clk,reg_op1_reg[29]/d,693,29
reg_op1_reg[0]/clk,reg_op1_reg[19]/d,676,29
instr_sub_reg/clk,alu_out_q_reg[16]/d,722,29
