Launch Point, Capturing point, Data Path Delay, Number of cominational cells in data path
decoded_imm_j_reg[4]/CK,reg_op2_reg[27]/D,0.42,13
decoded_imm_j_reg[2]/CK,reg_op2_reg[25]/D,0.42,14
decoded_imm_j_reg[4]/CK,reg_op2_reg[26]/D,0.415,13
decoded_imm_j_reg[18]/CK,reg_op1_reg[10]/D,0.41,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[23]/D,0.411,10
decoded_imm_j_reg[18]/CK,reg_op1_reg[24]/D,0.411,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[20]/D,0.414,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[19]/D,0.413,11
decoded_imm_j_reg[2]/CK,reg_op2_reg[30]/D,0.407,12
decoded_imm_j_reg[2]/CK,reg_op2_reg[22]/D,0.413,14
decoded_imm_j_reg[18]/CK,reg_op1_reg[22]/D,0.411,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[18]/D,0.412,11
decoded_imm_j_reg[2]/CK,reg_op2_reg[16]/D,0.421,13
decoded_imm_j_reg[11]/CK,reg_op2_reg[8]/D,0.407,15
decoded_imm_j_reg[18]/CK,reg_op1_reg[21]/D,0.412,11
decoded_imm_j_reg[4]/CK,reg_op2_reg[7]/D,0.405,12
decoded_imm_j_reg[4]/CK,reg_op2_reg[9]/D,0.405,13
decoded_imm_j_reg[18]/CK,reg_op1_reg[31]/D,0.411,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[25]/D,0.409,11
decoded_imm_j_reg[2]/CK,reg_op2_reg[29]/D,0.405,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[9]/D,0.41,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[12]/D,0.42,11
decoded_imm_j_reg[4]/CK,reg_op2_reg[31]/D,0.408,13
decoded_imm_j_reg[18]/CK,reg_op1_reg[6]/D,0.419,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[2]/D,0.419,13
decoded_imm_j_reg[4]/CK,reg_op2_reg[15]/D,0.407,12
decoded_imm_j_reg[18]/CK,reg_op1_reg[11]/D,0.409,11
reg_op1_reg[3]/CK,alu_out_q_reg[18]/D,0.398,16
decoded_imm_j_reg[18]/CK,reg_op1_reg[17]/D,0.419,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[8]/D,0.407,11
reg_op1_reg[3]/CK,alu_out_q_reg[23]/D,0.405,16
decoded_imm_j_reg[4]/CK,reg_op2_reg[13]/D,0.403,13
reg_op1_reg[3]/CK,alu_out_q_reg[21]/D,0.403,16
decoded_imm_j_reg[18]/CK,reg_op1_reg[13]/D,0.409,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[29]/D,0.417,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[30]/D,0.408,11
instr_jal_reg/CK,reg_next_pc_reg[25]/D,0.415,16
instr_jal_reg/CK,reg_next_pc_reg[30]/D,0.413,17
decoded_imm_j_reg[4]/CK,reg_op2_reg[6]/D,0.399,11
